Content,Video title,Video publish time,Average percentage viewed (%),RPM (USD),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,40.94,4.481,0:09:47,10635067,1734256.5355,40477,47618.471,118277285,6.28
o0PvuBQ1jXU,The First Salty Opponent: Random Battles to #1: Competitive Pokemon Showdown | Episode 14,"Mar 7, 2022",40.11,5.141,0:10:02,102460,17155.5581,553,526.617,1600921,4.37
znbIgrIqVHE,How a Non-Legendary Won the Ubers World Cup of Pokemon,"Apr 1, 2024",54.92,3.957,0:05:56,94646,9384.5144,233,374.298,883163,7.76
bJYQlZ5BdvI,The Finale? Can I Become The #1 Pokemon Showdown Player?,"Aug 13, 2023",38.99,4.577,0:10:05,88733,14932.5613,313,406.074,1067086,6.17
JNd_5MOhv7M,How I Became the #1 Player on Pokémon Showdown,"May 4, 2024",41.31,5.518,0:08:23,80643,11288.7039,246,442.795,1050982,5.59
czwythgDnLc,I Fought STALL In My Pokemon Scarlet and Violet Tournament Debut...,"Nov 24, 2022",39.35,4.661,0:07:19,77284,9428.5996,222,360.228,845250,6.77
Pkjkdqrh3DU,I Played Competitive Gen 1... With Gen 9 Pokemon,"Apr 23, 2023",20.42,3.851,0:07:19,71732,8763.3992,167,276.184,597583,8.96
V6mATPRzKq0,"""The Fight"": Freezai vs Finchinator, Pokemon Showdown's Biggest Event in Years","Jan 2, 2023",28.6,3.42,0:12:00,70630,14132.5946,155,241.546,856724,5.81
rWQDqZCDouM,I Fought a Lugia Stall Team in the Ubers World Cup of Pokémon...,"Feb 24, 2024",55.41,3.253,0:06:05,66143,6709.0973,185,215.076,811135,5.92
Zyw2Vj8fXDc,I Played the Best Player in the World in the World Cup of Pokemon,"Jun 23, 2023",54.56,4.065,0:05:57,64035,6356.7213,241,260.169,678101,6.77
UsqxNRiwGss,So I Played an Ubers Champion in a $350 Tournament...,"Feb 5, 2022",38.08,3.442,0:08:52,63226,9348.867,442,217.59,816101,5.5
5T-uQAhOmLM,How to Use Secret Avatars on Pokemon Showdown,"Jul 23, 2021",51.08,1.101,0:00:52,62645,906.5796,155,68.974,194079,13.8
kLWcyusJwrU,Oh No! Ghost vs Dark in the Monotype World Cup.. Will I Win?,"Mar 9, 2023",44.75,4.239,0:07:17,60803,7390.9522,226,257.719,634579,7.22
YM0CJP659ZQ,I Played in the Finals of the World Cup of NU....,"Sep 24, 2023",48.45,4.801,0:07:15,59491,7197.8975,152,285.62,692280,6.55
