Content,Video title,Video publish time,Dislikes,Likes,Average percentage viewed (%),Average view duration,RPM (USD),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,35236,2375177,51.97,0:04:01,2.601,55751828,3734669.1906,162635,510327070,7.04
49tsEEx7EqM,Explaining Competitive Pokemon's Greatest Game of All Time,"Aug 9, 2022",2285,65116,54.3,0:06:33,4.277,1683316,184059.5008,9873,26554504,4.52
bfdAM8phWjY,Interesting Competitive Pokémon Gimmicks,"Mar 24, 2024",2202,5475,49.99,0:08:09,4.459,134621,18301.9311,-511,1280272,6.67
tThU_WgtROc,Why Terastalization Should Be Banned,"Dec 15, 2022",1118,5341,41.78,0:08:46,6.29,149961,21906.6409,132,1101368,9.13
S4eMLU6JcrY,Competitive Pokémon's Greatest Cheating Scandal: The Mazar Story,"Nov 22, 2022",858,30347,61.13,0:07:01,4.513,1184512,138775.9001,2819,17521490,4.78
gSqwpTWRZRU,Pokemon's Rarest Field Condition,"Oct 25, 2023",701,60762,103.86,0:00:44,0.13,889156,11030.3939,462,2369729,5.8
LNUZOpvjY8A,Brute Bonnet's Stats Are Secretly Genius. Here's Why.,"Apr 14, 2023",582,37367,93.7,0:00:49,0.086,604562,8339.9564,371,1198341,8.5
BotseJq2y0k,How To Beat Pokémon's Most INSANE Challenge,"Sep 13, 2022",566,24339,49.84,0:04:00,3.103,702633,46889.3875,1612,9997511,5.52
6zruui3yeBk,Explaining Pokemon's Greatest Ragequit of All Time,"Sep 2, 2022",560,25337,58.68,0:04:42,3.768,740066,58136.5395,2187,7471697,7.09
p1U7tfxs2yQ,Was MrBeast's Pokemon Team Good?,"Apr 12, 2023",509,20779,85.38,0:00:45,0.087,353056,4437.7224,278,1969256,6.63
k_AJo-_AeTY,Is Palafin Stronger Than Gen 8 Dracovish?,"May 17, 2023",490,31925,88.4,0:00:50,0.1,578389,8095.1195,283,1444477,5.81
nyUkCjHJi54,Why Palafin is Uniquely Overpowered,"Nov 23, 2022",463,17159,46.74,0:03:45,4.055,984932,61637.801,953,7534224,10.57
qWmdtJpLBlg,The Most Unfortunate Event at a Pokemon Tournament,"Apr 18, 2023",447,36902,91.04,0:00:50,0.097,611798,8663.7427,297,1133290,7.47
L0AKoIKD7iA,How temp6t Beat the OU Council With a Lechonk,"Jan 18, 2023",445,22854,67.85,0:04:02,2.144,694934,46888.8189,1010,8707844,5.95
1sU3Ykoo9S8,How Pokemon Used to be Sexist,"May 16, 2023",408,15857,88.24,0:00:49,0.078,278473,3822.3636,178,2824336,5.32
g1WXxX3Vrkg,Charizard and Crocalor Are the Same Tier Competitively LOL,"May 24, 2023",335,21434,81.76,0:00:46,0.09,405787,5253.3355,254,991255,5.8
n4ErFaelqbg,Is Ferrothorn Homophobic in Competitive Pokemon?,"Aug 30, 2022",293,6845,39.73,0:03:06,1.941,115717,6000.8356,469,592270,13.62
CfjfS49B_rw,Top 5 Most Overpowered Pokemon in Scarlet and Violet,"Nov 19, 2022",287,9743,55.9,0:04:31,3.333,457834,34477.9427,721,4799365,6.99
bR__29uVbaw,How I Won Smogon's Biggest Tournament,"Jul 5, 2022",287,14306,41.96,0:12:00,5.892,450727,90240.2606,3245,11013187,2.47
J2MBTXuS_8A,How Critical Hits Created a New Playstyle,"Apr 8, 2022",259,6471,51.26,0:05:21,3.036,172925,15438.5108,284,816132,9.2
njewJ6HYOTo,Huh? When Float Stone Was Competitive Pokemon Relevant,"Apr 11, 2023",252,25982,94.13,0:00:51,0.088,395256,5684.2456,266,979191,8.32
AZaZfQBdQCQ,Why You MUST Nickname Pokémon in Competitive Battles in Generation 3,"Jan 7, 2022",230,21836,78.63,0:01:09,1.415,569802,11077.0404,833,3282985,12.04
yEVNqh7991c,Explaining Every Controversy at the Pokemon World Championship 2023,"Aug 19, 2023",228,6819,54.81,0:08:36,4.09,161205,23119.9027,199,1766843,6.17
zLylWdQY9Ic,The Complete History of Generation 8 Competitive Pokemon (Singles),"Nov 18, 2022",225,11464,31.97,0:16:09,7.949,441518,118882.5374,1597,9704242,2.36
fw0Cx5rA-IM,Why Competitive BDSP Pokemon Failed,"Oct 11, 2022",217,10755,55.63,0:04:36,3.727,292269,22446.3215,1036,2519241,8.64
QlxZjQmCS28,Most Genius Play at a Pokemon Tournament #pokemongame #pokemon #gaming,"Oct 2, 2023",216,14355,99.44,0:00:49,0.11,191907,2650.4469,176,445190,5.32
XNh3g0euEiU,What Makes Gholdengo So Dominant,"Dec 1, 2022",215,8227,46.28,0:03:43,4.066,309745,19193.7641,1197,1894423,13.01
e9lzvDJrhVY,Is Chi-Yu the Strongest Pokemon of ALL TIME?,"Dec 26, 2022",203,8350,55.11,0:04:46,2.796,259895,20649.1611,259,1844909,10.42
5jl3ccQuAqY,Competitive Pokemon With Low Stats But Are Actually Good (Singles),"Dec 30, 2022",202,10157,46.6,0:07:01,2.661,348490,40780.842,564,4257857,5.97
